[2017-10-31 00:39:32] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingTag"}} []
[2017-10-31 00:39:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"}} []
[2017-10-31 00:39:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2017-10-31 00:39:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2017-10-31 00:39:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2017-10-31 00:39:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
[2017-10-31 00:39:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"}} []
[2017-10-31 00:39:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"}} []
[2017-10-31 00:39:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"}} []
[2017-10-31 00:39:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"}} []
[2017-10-31 00:39:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2017-10-31 00:39:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"}} []
[2017-10-31 00:39:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
[2017-10-31 00:39:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_mgs_design_config_grid_flat_1"}} []
[2017-10-31 00:39:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_mgs_design_config_grid_flat_2"}} []
[2017-10-31 00:39:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_mgs_design_config_grid_flat_3"}} []
[2017-10-31 00:39:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_mgs_design_config_grid_flat_4"}} []
